Node ID,Degree,Modularity class,Betweenness centrality,Closeness centrality
"Erdos, Paul",511,10,0.754279,0.511329
"ABBOTT, HARVEY LESLIE",24,10,0.001234,0.340187
"ACZEL, JANOS D.",81,9,0.01122,0.340589
"AGOH, TAKASHI",8,3,0.000907,0.339196
"AHARONI, RON",51,10,0.004609,0.345943
"AIGNER, MARTIN S.",33,10,0.003428,0.343869
"AJTAI, MIKLOS",47,10,0.002632,0.347433
"ALAOGLU, LEONIDAS",3,10,0.000347,0.33838
"ALAVI, YOUSEF",36,10,0.001331,0.344692
"ALLADI, KRISHNASWAMI",11,10,0.000723,0.339396
"ALON, NOGA M.",438,10,0.053781,0.37918
"ANDERSON, JAMES MILNE",46,8,0.004802,0.341881
"ANDRASFAI, BELA",2,10,0,0.338509
"ANKENY, NESMITH CORNETT",9,3,0.000472,0.339276
"ANNING, NORMAN H.",1,10,0,0.338341
"ARKIN, JOSEPH",15,10,0.000679,0.339836
"ARNEY, DAVID CHRISTOPHER",19,10,0.001912,0.338778
"ARONOV, BORIS",120,10,0.013487,0.34802
"ASH, J. MARSHALL",44,8,0.005644,0.341669
"ASHBACHER, CHARLES D.",8,0,0.001214,0.33848
"AVIS, DAVID MICHAEL",93,10,0.011703,0.34243
"BABAI, LASZLO",109,10,0.009039,0.355323
"BABU, GUTTI JOGESH",44,8,0.00676,0.339306
"BAGEMIHL, FREDERICK",12,5,0.000959,0.338858
"BALOG, ANTAL",33,3,0.00177,0.342399
"BANKOFF, LEON",2,10,0,0.338629
"BARAK, AMNON B.",65,4,0.009393,0.343449
"BATEMAN, PAUL TREVIER",24,3,0.002112,0.341436
"BAUMGARTNER, JAMES EARL",30,5,0.001682,0.341466
"BEASLEY, LEROY B.",45,10,0.005604,0.339876
"BECK, ISTVAN",7,10,0.000568,0.339216
"BEHZAD, MEHDI^1",21,10,0.001477,0.342216
"BEJLEGAARD, NIELS",3,10,0,0.339176
"BENKOSKI, STANLEY J.",4,2,0.000419,0.3384
"BERGELSON, VITALY",45,5,0.004215,0.34174
"BERGER, MARC ARON",13,10,0.001279,0.339656
"BERTRAM, EDWARD ARTHUR",10,10,0.000193,0.341993
"BIALOSTOCKI, ARIE",25,10,0.002402,0.339996
"BLASS, ANDREAS RAPHAEL",59,5,0.00689,0.345094
"BLECKSMITH, RICHARD FRED",15,3,0.001306,0.338897
"BLEICHER, MICHAEL NATHANIEL",12,9,0.001282,0.338629
"BOALS, ALFRED JOHN",16,10,0.001222,0.339826
"BOAS, RALPH PHILIP, JR.",31,8,0.003214,0.340037
"BOES, DUANE CHARLES",25,8,0.003985,0.338967
"BOLLOBAS, BELA",168,10,0.015205,0.366409
"BONAR, DANIEL DONALD",7,5,0.000328,0.338678
"BONDY, JOHN ADRIAN",45,10,0.002583,0.345104
"BONNET, ROBERT",15,5,0.001043,0.340639
"BOROSH, ITSHAK",19,10,0.001865,0.340589
"BOSAK, JURAJ",7,10,0.000385,0.339966
"BOVEY, JOHN D.",12,3,0.001561,0.338688
"BRENNER, JOEL LEE",44,10,0.005341,0.340037
"BRILLHART, JOHN DAVID",23,3,0.001577,0.341062
"BRINDZA, BELA",25,3,0.001792,0.340037
"BROWN, THOMAS CRAIG",30,10,0.002374,0.343327
"BROWN, WILLIAM G.",8,10,0.000079,0.342226
"BUCK, ROBERT CREIGHTON",4,8,0.000173,0.338688
"BUKOR, JOZEF",10,3,0.000626,0.339097
"BURR, STEFAN ANDRUS",31,10,0.001447,0.349932
"BUSOLINI, DONALD TERENCE",1,10,0,0.338341
"CACCETTA, LOUIS",67,10,0.009093,0.340217
"CALKIN, NEIL JAMES",77,10,0.009946,0.343808
"CAMERON, PETER J.",146,10,0.016086,0.348409
"CANFIELD, EARL RODNEY",35,10,0.002807,0.345331
"CARROLL, FRANCIS WILLIAM",12,5,0.000878,0.338728
"CATER, FRANK SYDNEY",6,3,0.000606,0.338668
"CATES, MARSHALL L.",5,10,0.000347,0.339097
"CATLIN, PAUL ALLEN",14,10,0.001071,0.340147
"CHALK, JOHN H. H.",6,3,0.000559,0.338688
"CHARTRAND, GARY THEODORE",115,10,0.007568,0.352531
"CHEN, CHUAN CHONG",33,10,0.003069,0.340388
"CHEN, GUANTAO",91,10,0.007235,0.34498
"CHEN, HANG",6,10,0.000206,0.339716
"CHEN, ROBERT W.",30,10,0.003898,0.340519
"CHINN, PHYLLIS ZWEIG",45,10,0.005092,0.345104
"CHOI, SHIU LUN GODFREY",4,10,0.000002,0.339366
"CHOWLA, SARVADAMAN D. S.",68,3,0.007873,0.341335
"CHUI, CHARLES KAM-TAI",96,8,0.014405,0.34072
"CHUNG, FAN RONG KING (GRAHAM",143,10,0.015911,0.364176
"CHUNG, KAI-LAI",33,8,0.003852,0.339686
"CHVATAL, VACLAV (VASEK",78,10,0.006247,0.355586
"CLARK, BRENT N.",3,10,0.000008,0.340659
"CLARK, LANE HENRY",41,10,0.003489,0.344044
"CLARKSON, JAMES ANDREW",3,10,0.000347,0.33838
"CLUNIE, JAMES GOURLAY",33,8,0.003072,0.339996
"COHEN, STEPHEN DOUGLAS",39,5,0.004801,0.339256
"COLBOURN, CHARLES JOSEPH",245,10,0.029156,0.352898
"CONWAY, JOHN HORTON",66,3,0.008044,0.341345
"COPELAND, ARTHUR HERBERT, SR.",6,8,0.000442,0.341163
"CROFT, HALLARD T.",8,3,0.000478,0.339496
"CSAKI, ENDRE",32,9,0.003336,0.339606
"CSISZAR, IMRE",26,10,0.002729,0.340287
"CZIPSZER, JANOS",6,10,0.000232,0.339027
"DARLING, DONALD ALLAN",9,8,0.000857,0.338868
"DARST, RICHARD BRIAN",19,8,0.002359,0.339007
"DAVENPORT, HAROLD",24,3,0.001211,0.340237
"DAVIES, ROY OSBORNE",31,3,0.002851,0.342541
"DAYKIN, DAVID E.",34,2,0.003321,0.346098
"DE BRUIJN, NICOLAAS GOVERT",19,10,0.001873,0.339426
"DE CAEN, DOMINIQUE",30,10,0.001678,0.344434
"DE KONINCK, JEAN-MARIE",25,3,0.001689,0.341871
"DEBOSE, YOLANDA (COLUMBUS",9,10,0.001214,0.338738
"DEHEUVELS, PAUL RENE LOUIS",33,9,0.004219,0.339216
"DELEGLISE, MARC",9,3,0.000608,0.338738
"DENES, JOZSEF",18,10,0.002284,0.341497
"DESHOUILLERS, JEAN-MARC",49,3,0.004039,0.343931
"DEUBER, WALTER A.",23,10,0.001078,0.342959
"DEZA, MICHEL-MARIE",70,10,0.00704,0.343869
"DIACONIS, PERSI W.",135,10,0.0189,0.344558
"DIAMOND, HAROLD GEORGE",19,3,0.001419,0.34076
"DIRAC, GABRIEL ANDREW",7,10,0.000421,0.339226
"DIXMIER, JACQUES",20,3,0.002873,0.338987
"DOWKER, YAEL NAIM",4,10,0.00052,0.3384
"DRAKE, DAVID ALLYN",20,10,0.001551,0.343122
"DUDLEY, UNDERWOOD",3,10,0.000347,0.33838
"DUKE, RICHARD ALTER",14,10,0.000689,0.347276
"DVORETZKY, ARYEH",14,8,0.001117,0.339306
"ECKLUND, EARL FRANK, JR.",20,10,0.002946,0.339166
"EDREI, ALBERT",15,8,0.000945,0.339186
"EGGLETON, ROGER BENJAMIN",31,10,0.002924,0.341072
"EL-ZAHAR, MOHAMED H.",21,10,0.002666,0.339067
"ELEKES, GYORGY",15,10,0.000594,0.339906
"ELLIOTT, PETER D. T. A.",11,10,0.000793,0.338838
"ENTRINGER, ROGER CHARLES",49,10,0.003514,0.3469
"ERNE, MARCEL",32,5,0.004715,0.338957
"EVANS, ANTHONY B.",16,10,0.001616,0.338639
"FABER, VANCE",140,9,0.020561,0.343746
"FAJTLOWICZ, SIEMION",25,9,0.001963,0.341952
"FAUDREE, RALPH JASPER, JR.",76,10,0.0046,0.357415
"FEJES TOTH, LASZLO",12,10,0.000842,0.339286
"FELDHEIM, ERVIN",1,10,0,0.338341
"FELLER, WILLI K. (WILLIAM",8,10,0.000533,0.338808
"FELZENBAUM, ALEXANDER GERSH",8,10,0.000543,0.3408
"FEW, LEONARD",5,3,0.000375,0.338659
"FISHBURN, PETER C.",90,10,0.009766,0.347339
"FODOR, GEZA",4,10,0.000173,0.338668
"FON-DER-FLAASS, DMITRII GERMANOVICH",26,10,0.002122,0.345238
"FOWLER, JOEL CHRISTOPHER",5,10,0.000002,0.339186
"FOWLER, THOMAS GEORGE",4,10,0.000409,0.3384
"FRAENKEL, AVIEZRI SIEGMUND",92,10,0.010554,0.345891
"FRANKL, PETER",87,10,0.005536,0.357825
"FREEDMAN, ALLEN ROY",11,10,0.001138,0.338758
"FREIMAN, GREGORY A.",40,10,0.003932,0.344414
"FREUD, GEZA",24,8,0.001948,0.339926
"FREUD, ROBERT",3,10,0.000001,0.338748
"FRIED, ERVIN",24,10,0.001863,0.339546
