"Source","Target","Weight"
"frod","sams",171
"frod","ganda",129
"arag","frod",105
"bilb","frod",96
"frod","pipp",80
"pipp","sams",72
"frod","merr",64
"merr","pipp",57
"arag","sams",50
"bilb","ganda",44
"merr","sams",43
"boro","frod",42
"arag","ganda",41
"arag","boro",40
"ganda","sams",31
"arag","merr",30
"elro","frod",27
"elro","ganda",27
"arag","elro",22
"arag","pipp",22
"gimli","lego",22
"bilb","sams",21
"frod","lego",21
"arag","lego",20
"frod","gimli",20
"ganda","pipp",20
"ganda","gimli",19
"frod","nazg",18
"bilb","goll",15
"boro","sams",15
"boro","ganda",14
"boro","lego",14
"arag","gimli",13
"frod","gild",13
"boro","pipp",12
"frod","goll",12
"ganda","merr",12
"gimli","sams",12
"bilb","elro",11
"boro","gimli",11
"lego","sams",11
"arag","bilb",10
"bilb","merr",10
"boro","merr",10
"duri","gimli",10
"ganda","lego",10
"bilb","pipp",9
"elro","saur",9
"frod","gloi",9
"frod","hald",9
"ganda","goll",9
"lego","merr",9
"lego","pipp",9
"arag","goll",8
"cele","gala",8
"gimli","gloi",8
"hald","lego",8
"boro","elro",7
"elro","sams",7
"frod","gala",7
"frod","saur",7
"ganda","saur",7
"gimli","merr",7
"gimli","pipp",7
"saru","saur",7
"arag","saur",6
"elro","gloi",6
"elro","pipp",6
"ganda","nazg",6
"ganda","saru",6
"bali","ganda",5
"boro","saru",5
"duri","ganda",5
"frod","saru",5
"ganda","gild",5
"gloi","lego",5
"nazg","pipp",5
"arag","arwe",4
"arag","bali",4
"bali","frod",4
"bali","gimli",4
"bilb","gloi",4
"elro","saru",4
"ganda","gloi",4
"gild","pipp",4
"gimli","hald",4
"nazg","sams",4
"arag","cele",3
"arag","gala",3
"arag","hald",3
"arag","nazg",3
"arwe","elro",3
"arwe","frod",3
"bali","gloi",3
"bilb","gild",3
"bilb","thor",3
"boro","saur",3
"gala","ganda",3
"gala","gimli",3
"gild","sams",3
"gloi","saur",3
"goll","lego",3
"goll","saru",3
"merr","nazg",3
"arag","dene",2
"arag","gloi",2
"arag","saru",2
"bali","boro",2
"bali","duri",2
"bali","lego",2
"bilb","boro",2
"bilb","lego",2
"bilb","nazg",2
"bilb","saru",2
"boro","dene",2
"cele","ganda",2
"cele","gimli",2
"cele","hald",2
"dene","elro",2
"dene","saru",2
"duri","gloi",2
"elro","gimli",2
"elro","lego",2
"elro","merr",2
"frod","thor",2
"gala","hald",2
"gala","lego",2
"gala","sams",2
"gala","saur",2
"ganda","thor",2
"gimli","saur",2
"goll","nazg",2
"goll","sams",2
"arwe","bilb",1
"bali","bilb",1
"bali","merr",1
"bali","pipp",1
"bali","sams",1
"bali","thor",1
"bilb","gimli",1
"boro","cele",1
"boro","gloi",1
"boro","goll",1
"cele","frod",1
"cele","lego",1
"cele","sams",1
"dene","frod",1
"dene","ganda",1
"dene","goll",1
"duri","saur",1
"elro","gala",1
"elro","goll",1
"gild","nazg",1
"gimli","thor",1
"gloi","goll",1
"gloi","thor",1
"hald","merr",1
"hald","pipp",1
"hald","sams",1
"hald","saur",1
"lego","saur",1
"lego","thor",1
"nazg","saru",1
"nazg","saur",1
"sams","saur",1
