"id","Label","Type","Importance","Gender","Origin","Imp_int"
"frod","Frodo","Hobbit","2040","male","Shire","3"
"ganda","Gandalf","Ainur","1235","male","MiddleEarth","3"
"merr","Merry","Hobbit","595","male","Shire","2"
"arag","Aragorn","Man","1069","male","Gondor","3"
"dene","Denethor","Man","168","male","Gondor","1"
"gimli","Gimli","Dwarf","403","male","LonelyMountain","2"
"bere","Beregond","Man","77","male","Gondor","1"
"fara","Faramir","Man","313","male","Gondor","2"
"eowy","Éowyn","Man","115","female","Rohan","1"
"pipp","Pippin","Hobbit","771","male","Shire","2"
"eome","Éomer","Man","238","male","Rohan","2"
"sams","Sam","Hobbit","1400","male","Shire","3"
"bilb","Bilbo","Hobbit","385","male","Shire","2"
"lego","Legolas","Elf","346","male","Mirkwood","2"
"goll","Gollum","Hobbit","581","male","MiddleEarth","2"
"boro","Boromir","Man","293","male","Gondor","2"
"elro","Elrond","Elf","240","male","Rivendell","2"
"gala","Galadriel","Elf","95","female","Lorien","1"
"cele","Celeborn","Elf","51","male","Lorien","1"
"grim","Wormtongue","Man","65","male","Rohan","1"
"arwe","Arwen","Elf","51","female","Rivendell","1"
"eorl","Eorl","Man","56","male","Rohan","1"
"gorb","Gorbag","Orc","30","male","MiddleEarth","1"
"saru","Saruman","Ainur","312","male","Isengard","2"
"nazg","Nine Riders","Man","54","","Mordor","1"
"saur","Sauron","Ainur","339","male","Mordor","2"
"duri","Durin","Dwarf","54","male","Moria","1"
"gild","Gildor","Elf","32","male","MiddleEarth","1"
"gloi","Glóin","Dwarf","52","male","LonelyMountain","1"
"theod","Théoden","Man","246","male","Rohan","2"
